Hostname
agfexx601
AGIONX101
agionx102
agionx104
agmuxx601
agorcx1t1
agotcx601
batd2
batut1
btsmilesp1
btsmilesp2
btsmilesq1
cap-riskbe-bl-01
cap-riskbe-db-01
cap-riskbe-db-91
cap-risk-bl-11
cap-risk-ora-11
captod1
captop1
